"","symbols","allENT","moduleColors","riBAQ 17","riBAQ 18","riBAQ 35","riBAQ 36","riBAQ 19","riBAQ 20","riBAQ 21","riBAQ 22","riBAQ 23","riBAQ 37","riBAQ 38","riBAQ 39","riBAQ 40","riBAQ 41","riBAQ 24","riBAQ 25","riBAQ 26","riBAQ 42","riBAQ 43"
"875","KCNAB2","ENSG00000069424","turquoise",0.000227799,0.000237143,0.000199291,0.000183639,0.000160295,0.000164463,0.000167825,0.000148717,0.000186907,0.000219825,0.000259358,0.000114414,0.000138476,9.74e-05,0.000117895,0.000115492,9.16e-05,0,7.59e-05
"876","KCNMA1","ENSG00000156113","grey",1.36e-05,0,6.54e-06,7.34e-06,4.14e-06,0,0,1e-05,0,5.83e-06,5.28e-06,0,0,0,0,2.8e-06,0,0,0
"877","KCNN3","ENSG00000143603","turquoise",0,0,0,0,1.54e-05,1.1e-05,0,2.65e-05,0,0,0,0,0,0,0,2.56e-05,2.56e-05,3.05e-05,2.86e-05
"878","KCTD12","ENSG00000178695","grey",7.25e-05,8.58e-05,7.66e-05,8.83e-05,0.00015033,0.000100318,8.66e-05,0.000134055,0.000111678,0.000150835,9.02e-05,7.98e-05,0.00011597,9.2e-05,9.58e-05,0.000148316,8.09e-05,0.000147578,0.000143634
"879","KCTD16","ENSG00000183775","black",5.69e-05,0.000120798,0.000125129,0.000115282,8.2e-05,6.2e-05,4.86e-05,7.17e-05,5.93e-05,9.79e-05,9.72e-05,3.53e-05,3.55e-05,4.73e-05,0,0,0,0,0
"880","KHDRBS1","ENSG00000121774","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67e-05,4.27e-05,0,2.31e-05,2.99e-05
"881","KHSRP","ENSG00000088247","pink",0,0,1.04e-05,7.24e-06,1.31e-05,0,0,0,1.55e-05,7.83e-06,8.81e-06,9.28e-06,2.05e-05,1.33e-05,1.64e-05,1.34e-05,9.49e-06,9.44e-06,1.5e-05
"882","KIAA0513","ENSG00000135709","black",8.52e-05,0.000224367,0.000245789,0.000296425,7.86e-05,0.000128659,6.76e-05,7.63e-05,7.22e-05,0.000139552,0.000117838,5.86e-05,1.56e-05,9.58e-05,0,0,0,0,1.52e-05
"883","KIAA1045",NA,"black",4.69e-05,9.94e-05,0.000120733,0.000125381,4.24e-05,5.8e-05,1.69e-05,1.99e-05,2.69e-05,5.77e-05,7.89e-05,3.1e-05,2.99e-05,3.69e-05,1.17e-05,2.1e-05,1.36e-05,8.32e-05,2.34e-05
"884","KIAA1107",NA,"black",0,3.28e-06,4.05e-06,3.22e-06,0,0,0,2.66e-06,0,0,3.01e-06,0,2.32e-06,0,0,0,0,0,0
"885","KIAA1468",NA,"black",0,1.31e-05,1.32e-05,2.02e-05,0,0,0,0,0,8.46e-06,1.02e-05,0,0,0,0,0,0,0,0
"886","KIAA1598",NA,"black",0,1.44e-05,1.51e-05,1.52e-05,6.8e-06,2.35e-05,0,1.13e-05,0,6.77e-06,1.07e-05,0,0,0,0,7.58e-06,6.91e-06,0,9.19e-06
"887","KIF1A","ENSG00000130294","black",4.18e-06,9.41e-06,1.03e-05,8.89e-06,5.19e-06,6.4e-06,0,3.17e-06,2.78e-06,7.31e-06,8.32e-06,0,0,4.97e-06,0,0,0,0,0
"888","KIF21A","ENSG00000139116","black",1.15e-05,2.25e-05,2.44e-05,2.81e-05,9.46e-06,1.05e-05,0,8.68e-06,8.86e-06,1.87e-05,1.57e-05,0,6.88e-06,6.87e-06,0,6.95e-06,4.66e-06,4.91e-06,5.17e-06
"889","KIF2A","ENSG00000068796","black",1.63e-05,3.85e-05,4.19e-05,5.67e-05,1.57e-05,2.47e-05,1.32e-05,1.54e-05,1.66e-05,2.77e-05,2.73e-05,8.87e-06,0,7.81e-06,0,6.99e-06,0,6.14e-06,7.27e-06
"890","KIF5B","ENSG00000170759","grey",7.76e-06,2.37e-05,1.43e-05,1.45e-05,1.28e-05,1.96e-05,1.56e-05,1.74e-05,1.05e-05,1.5e-05,1.7e-05,6.24e-06,8.2e-06,1.1e-05,1.56e-05,1.39e-05,1.39e-05,2.39e-05,1.03e-05
"891","KIF5C","ENSG00000276734","black",4.04e-05,0.000103734,0.000144178,0.000116397,3.04e-05,5.13e-05,2.98e-05,4.68e-05,4e-05,6.41e-05,7.22e-05,2.16e-05,2e-05,4.24e-05,2.36e-05,1.88e-05,1.93e-05,1.44e-05,1.62e-05
"892","KLC1","ENSG00000126214","black",2.61e-05,7.96e-05,9.47e-05,9.05e-05,2.66e-05,7.32e-05,3.25e-05,4.02e-05,2.9e-05,5.97e-05,5.32e-05,2.47e-05,2.83e-05,3.37e-05,2.69e-05,2.67e-05,1.84e-05,3.11e-05,2.39e-05
"893","KPNA4","ENSG00000186432","black",1.28e-05,4.79e-05,3.28e-05,4.65e-05,2.01e-05,4.4e-05,2.7e-05,2.65e-05,1.61e-05,2.17e-05,4.01e-05,0,0,0,1.73e-05,0,3.37e-05,0,0
"894","KPNB1","ENSG00000108424","black",6.71e-05,0.000140807,0.000139883,0.000149911,9.07e-05,0.000129826,0.000123881,9.97e-05,8.13e-05,0.000114224,0.000127828,8.08e-05,7.01e-05,9.67e-05,0.000106877,0.000120858,0.000134629,0.000115889,0.000119999
"895","KPRP","ENSG00000203786","grey",0,9.17e-05,5.79e-05,2.46e-05,2.3e-05,4.58e-05,9.01e-05,0,0,0,0,0.000158273,0.000111852,0.000153057,0,0,0,5.01e-05,0.000113901
"896","KTN1","ENSG00000126777","grey",0,0,6.59e-06,2.88e-05,0,6.93e-06,0,4.83e-06,0,4.44e-06,5.57e-06,0,0,5.8e-06,2.02e-05,0,5.9e-06,1.13e-05,6.08e-06
"897","L1CAM","ENSG00000198910","pink",7.76e-05,7.1e-05,8.03e-05,4.7e-05,0.000100061,0.000122762,0.000333748,4.98e-05,6.34e-05,9.18e-05,0.00010365,0.000113231,6.55e-05,7.72e-05,7.33e-05,3.34e-05,3.71e-05,3.99e-05,8.19e-05
"898","LAMA2","ENSG00000196569","black",1.47e-05,0,5.33e-06,2.57e-06,1.5e-05,8.78e-06,5.93e-05,5.8e-06,1.16e-05,1.78e-05,1.38e-05,2.94e-05,3.77e-05,1.14e-05,5.32e-05,1.8e-05,3.42e-05,3.34e-05,3.32e-05
"899","LAMA4","ENSG00000112769","turquoise",0,0,0,0,0,0,5.74e-06,0,0,0,0,0,0,0,3.97e-06,3.05e-06,1.8e-06,5.09e-06,4.36e-06
"900","LAMA5","ENSG00000130702","turquoise",1.48e-05,3.92e-06,0,0,1.25e-05,9.43e-06,3.18e-05,7.09e-06,1.52e-05,2.05e-05,1.09e-05,1.57e-05,1.88e-05,7.86e-06,2.87e-05,3.5e-05,3.22e-05,4.41e-05,6.46e-05
"901","LAMB2","ENSG00000172037","black",7.99e-05,2.9e-05,2.57e-05,1.3e-05,8.47e-05,5.44e-05,0.000199297,4.76e-05,8.82e-05,9.25e-05,6.25e-05,0.000102795,0.000145134,5.35e-05,0.000199257,0.000123836,0.000167333,0.00016893,0.000202301
"902","LAMC1","ENSG00000135862","black",7.01e-05,1.76e-05,2.19e-05,1.19e-05,7e-05,4.18e-05,0.000179272,3.65e-05,7.47e-05,0.000111959,6.85e-05,0.000102707,0.00014035,4.7e-05,0.00016648,9.58e-05,0.00013594,0.00016655,0.000198708
"903","LAMP1","ENSG00000185896","turquoise",0.000159564,8.86e-05,7.99e-05,6.52e-05,0.000177852,0.000321007,0.000246671,0.000160684,0.000218534,0.000167306,0.000129061,0.00022634,0.000119775,0.000153451,0.000464495,0.000713841,0.00042737,0.000366514,0.000626808
"904","LAMP2","ENSG00000005893","turquoise",0.000121641,0,0,0,0.000205948,0.000273779,0.000223578,0.000227235,0.000208847,0.000131797,0.000135204,0.000184013,0.000149707,0.000122189,0.000277765,0.000547088,0.000362344,0.000267501,0.000574566
"905","LAMTOR1","ENSG00000149357","turquoise",5.21e-05,0,4.77e-05,6.29e-05,0,6.34e-05,0,0,5.27e-05,7.23e-05,0,0,7.02e-05,0,0,9.24e-05,8.02e-05,8.4e-05,0.000103268
"906","LANCL1","ENSG00000115365","turquoise",0.000749889,0.000672593,0.000615193,0.000561703,0.000876985,0.000533289,0.000544503,0.000516696,0.000605089,0.000668725,0.000704386,0.0006461,0.000575861,0.000527253,0.000434341,0.000378515,0.00026733,0.000262475,0.000399952
"907","LANCL2","ENSG00000132434","black",0.000147643,0.000201622,0.000189829,0.000233293,0.000190025,0.000100965,0.000145439,0.000127288,0.000105435,0.00017478,0.000166731,0.000104497,8.71e-05,0.000123554,8.51e-05,7.9e-05,6.65e-05,7.22e-05,8.25e-05
"908","LAP3","ENSG00000002549","turquoise",0.000135563,0.000118861,8.34e-05,7.47e-05,0.000170107,0.00018081,0.000187303,0.000230676,0.000283642,0.000174857,0.00013179,0.000144139,0.000232215,0.000209797,0.00042108,0.000496493,0.000591194,0.000396347,0.000536754
"909","LASP1","ENSG00000002834","black",9.55e-05,0.000129184,0.000202389,0.000203696,0.000122602,9.08e-05,9.45e-05,0.000123169,0.000100684,0.000118489,9.49e-05,8.65e-05,7.64e-05,0.000122637,6.35e-05,4.86e-05,5.04e-05,6.85e-05,5.69e-05
"910","LCMT1","ENSG00000205629","black",0,2.13e-05,3.14e-05,4.45e-05,2.06e-05,0,0,0,0,2.57e-05,2.15e-05,0,1.24e-05,2.79e-05,0,0,0,0,0
"911","LCP1","ENSG00000136167","black",1.84e-05,1.34e-05,1.14e-05,1.02e-05,4.49e-05,2.6e-05,2.56e-05,4.87e-05,2.15e-05,3.38e-05,2.35e-05,2.59e-05,3.07e-05,2.49e-05,4.53e-05,4.01e-05,4.8e-05,4.86e-05,3.73e-05
"912","LDHA","ENSG00000288299","turquoise",0.002984923,0.002147734,0.002407846,0.002377496,0.00213383,0.001993768,0.001846971,0.002371718,0.002513865,0.002360081,0.002083938,0.002163619,0.002052994,0.002670263,0.001912166,0.001197726,0.001561438,0.001060243,0.001090666
"913","LDHB","ENSG00000111716","green",0.006046598,0.004369838,0.004513533,0.005086874,0.004672524,0.004524409,0.004417676,0.005404158,0.00625212,0.004809537,0.004462358,0.005205204,0.005295484,0.005949688,0.005224654,0.003948262,0.004155719,0.003325917,0.003944764
"914","LGALS1","ENSG00000100097","turquoise",0.00260052,0.003015841,0.002718282,0.00202468,0.002104575,0.003794326,0.00252759,0.002151192,0.002517011,0.0029548,0.003037586,0.002919236,0.003285301,0.002267057,0.004795642,0.00722651,0.003257731,0.007437264,0.008277453
"915","LGALS3","ENSG00000131981","turquoise",0.000232548,0.000225311,0.000187033,0.000358461,0.000272767,0.000277927,0.000346016,0.000230587,0.000195038,0.000283765,0.000191188,0.000306852,0.000199853,0.0002679,0.000663662,0.000433482,0.000800521,0.001047143,0.000992118
"916","LGALS3BP","ENSG00000108679","black",0.000108316,7.53e-05,4.19e-05,2.46e-05,7.8e-05,0.000167721,0.000339488,0.000140671,0.000178397,0.000212662,0.000165717,0.000179033,0.000203924,0.000176258,0.000368325,0.000158604,0.000242121,0.000120852,0.000207527
"917","LGALSL","ENSG00000119862","turquoise",0.00051702,0.000506331,0.000502124,0.000571745,0.000477114,0.000453344,0.000361534,0.000471608,0.000468885,0.000484504,0.000564598,0.000407809,0.000362267,0.000485336,0.000243373,0.000120775,0.000141805,7.02e-05,0.000153929
"918","LGI1","ENSG00000108231","grey",1.65e-05,1.73e-05,0,9.47e-06,0,2.31e-05,2.86e-05,1.29e-05,0,9.91e-06,0,0,0,0,0,9.91e-06,9.56e-06,0,1.34e-05
"919","LHPP","ENSG00000107902","black",0.000178634,0.000164559,0.000129688,0.000114933,0.000237501,0.000162065,0.000240424,0.000265766,0.000249575,0.000176025,0.000189868,0.000203944,0.000612639,0.000176661,0.000380721,0.000496685,0.00035194,0.000591732,0.000574951
"920","LIMS1","ENSG00000169756","turquoise",0,0,0,1.59e-05,0,0,0,0,0,0,0,0,0,0,0,2.85e-05,2.77e-05,3.35e-05,2.27e-05
"921","LIN7C","ENSG00000148943","green",0.000120538,0.000169806,0.000106836,0.000132481,0.000139755,0.000148115,9.23e-05,0.000104856,0.000126089,0.000112418,9.88e-05,0.000167924,9.82e-05,8.9e-05,7.34e-05,0.000118004,0.000118152,0.000265524,0.000167242
"922","LLGL1","ENSG00000131899","grey",3.55e-05,2.75e-05,1.78e-05,4.23e-05,3.11e-05,3.45e-05,7.3e-05,5.34e-05,2.1e-05,3.54e-05,2.99e-05,4.13e-05,3.91e-05,3.07e-05,3.7e-05,6.83e-05,4.86e-05,4.5e-05,4.8e-05
"923","LMAN1","ENSG00000074695","green",0,0,0,0,0,5.33e-05,0,0,0,0,0,0,0,0,2.78e-05,4.58e-05,5.16e-05,0.000130625,5.04e-05
"924","LMAN2","ENSG00000169223","green",0,0,0,0,0,7.09e-05,0,0,0,1.95e-05,0,0,0,0,3.59e-05,5.2e-05,4.48e-05,0.000153874,9.92e-05
"925","LMNA","ENSG00000160789","black",0,0,0,0,0,0,3.11e-05,7.98e-06,1.16e-05,0,1.13e-05,2.34e-05,3.31e-05,1.3e-05,2.2e-05,2.25e-05,2.45e-05,3.09e-05,2.71e-05
"926","LNPEP","ENSG00000113441","turquoise",0,0,4.42e-06,0,6.43e-06,1.72e-05,8.44e-06,4.4e-06,0,7.35e-06,4.68e-06,0,0,0,1.22e-05,1.94e-05,1.26e-05,1.12e-05,2.34e-05
"927","LRP1","ENSG00000123384","turquoise",1.26e-05,9.68e-06,8.54e-06,8.15e-06,1.83e-05,3.99e-05,2.4e-05,1.1e-05,1.54e-05,1.85e-05,1.59e-05,1.23e-05,6.5e-06,7.75e-06,5.42e-05,9.08e-05,5.21e-05,8.84e-05,0.000120285
"928","LRPAP1","ENSG00000163956","green",0,0,0,0,0,4.96e-05,0,0,1.93e-05,2.89e-05,1.36e-05,0,0,0,2.9e-05,6.1e-05,5.6e-05,0.0001673,8.3e-05
"929","LRRC16A",NA,"black",9.21e-06,6.62e-06,1.15e-05,1.26e-05,5.04e-06,0,5.89e-06,6.4e-06,0,0,0,0,0,3.79e-06,0,0,0,0,2.72e-06
"930","LRRC40","ENSG00000066557","black",0,1.45e-05,1.29e-05,1.43e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11e-06
"931","LRRC47","ENSG00000130764","black",1.16e-05,2.4e-05,3.58e-05,3.66e-05,1.21e-05,2.01e-05,2.44e-05,1.7e-05,1.2e-05,2.4e-05,2.49e-05,0,0,1.83e-05,0,1.63e-05,1.16e-05,1.62e-05,1.4e-05
"932","LRRC57","ENSG00000180979","black",0.000295551,0.000274158,0.000257105,0.000399819,0.000321696,0.000166582,0.000219403,0.000228136,0.000281885,0.000284141,0.0002239,0.000185947,0.000152273,0.000261425,0.000200438,0.000157599,0.00012126,0.000165675,0.000163357
"933","LRRC8A","ENSG00000136802","grey",3.46e-05,3.47e-05,3.2e-05,2.55e-05,2.5e-05,3.65e-05,4.05e-05,3.84e-05,3.09e-05,3.09e-05,5.02e-05,3.56e-05,1.83e-05,1.77e-05,4.1e-05,2.94e-05,4.34e-05,3.38e-05,3.89e-05
"934","LRSAM1","ENSG00000148356","black",7.12e-06,1.71e-05,9.7e-06,1.28e-05,0,0,0,0,7.94e-06,8.04e-06,9.95e-06,0,0,0,0,0,0,0,0
"935","LSAMP","ENSG00000185565","turquoise",0.000314178,0.000218458,0.000211415,0.000116723,0.000185948,0.000425259,0.000609896,0.000169723,0.000237675,0.000173913,0.000269843,0.000454741,0.000387775,0.000342334,0.000338843,0.000457391,0.000336835,0.000273296,0.0006368
"936","LTA4H","ENSG00000111144","grey",7.11e-05,5.31e-05,7.07e-05,6.81e-05,9.13e-05,6.31e-05,6.39e-05,8.43e-05,8.63e-05,7.51e-05,7.49e-05,7.4e-05,5.63e-05,7.08e-05,9.21e-05,8.85e-05,8.69e-05,6.89e-05,7.93e-05
"937","LTF","ENSG00000012223","turquoise",0,0,1.4e-05,0,0,0,1.15e-05,0,0,0,0,3.07e-05,2.25e-05,0,0,8.68e-05,0,4.68e-05,2.94e-05
"938","LY6H","ENSG00000274488","grey",0.00108759,0.001326302,0.002131861,0.002335145,0.0035275,0.001732622,0.003281856,0.002208827,0.001434131,0.00140354,0.00119851,0.002239787,0.001286594,0.003028651,0.001364444,0.001504579,0.001101904,0.001078549,0.001937893
"939","LYN","ENSG00000254087","grey",3.33e-05,5.26e-05,5e-05,5.2e-05,0,0,0,0,0,2.63e-05,0,0,0,0,3.13e-05,0,2.22e-05,3.66e-05,1.79e-05
"940","LYZ","ENSG00000090382","grey",0,0,0.000347561,0.000210314,8.29e-05,0,0,0,0,0.000300095,0,0.000869586,0.000385884,0.00046575,0,0,0,0.000356332,0.000236232
"941","LZTFL1","ENSG00000163818","black",0,3.82e-05,5.39e-05,5.12e-05,1.37e-05,4.38e-05,0,1.6e-05,0,4.4e-05,5.09e-05,0,0,3.62e-05,0,0,0,2.18e-05,0
"942","M6PR","ENSG00000003056","green",0,0,6.37e-05,6e-05,5.07e-05,0.000118358,7.53e-05,5.74e-05,4.52e-05,6.94e-05,5.95e-05,3.93e-05,0,3.51e-05,7.3e-05,9.17e-05,7.22e-05,0.000133949,0.000116354
"943","MACF1","ENSG00000127603","grey",5.85e-06,8.27e-06,7.59e-06,8.36e-06,4.88e-06,5.77e-06,5.54e-06,5.84e-06,3.65e-06,8.5e-06,6.94e-06,5.25e-06,8.96e-06,3.08e-06,6.11e-06,4.5e-06,5.11e-06,4.13e-06,7.19e-06
"944","MACROD2","ENSG00000172264","black",0,1.38e-05,2.81e-05,3.34e-05,2.43e-05,0,0,0,0,2.43e-05,1.79e-05,0,0,1.63e-05,0,0,0,0,0
"945","MADD","ENSG00000110514","black",0,9.01e-06,6.28e-06,5.24e-06,0,0,0,0,0,4.15e-06,3.75e-06,0,0,0,0,0,0,0,0
"946","MAG","ENSG00000105695","turquoise",4.18e-05,2.89e-05,1.53e-05,0,0,5.2e-05,6.59e-05,3.5e-05,4.8e-05,2.47e-05,7e-05,6.21e-05,0.000134073,4.01e-05,0.000184634,0.000279832,0.000140374,0,8.92e-05
"947","MAGI2","ENSG00000187391","black",4.45e-06,5.44e-06,7.26e-06,8.41e-06,2.59e-06,0,0,3.95e-06,0,0,4.97e-06,6.25e-06,6.79e-06,2.47e-06,0,0,0,0,0
"948","MANF","ENSG00000145050","green",0,0,0,0,5.53e-05,9.63e-05,0,6.5e-05,0,0,0,0,6.74e-05,0,6.88e-05,9.94e-05,9.72e-05,0.000275335,0.000137238
"949","MAOA","ENSG00000189221","turquoise",1.62e-05,0,1.74e-05,0,0.000122833,0.000102865,0.000146542,5.23e-05,4.71e-05,6.9e-05,4.89e-05,3.64e-05,4.21e-05,4.53e-05,0.000138433,0.000175583,0.000199805,0.000129235,0.000178826
"950","MAOB","ENSG00000069535","turquoise",0.00013241,7.62e-05,6.17e-05,6.43e-05,0.001338626,0.000896118,0.000476814,0.000406464,0.000584316,0.000216024,0.000181154,0.000168125,0.000195255,0.000173277,0.002093704,0.005266903,0.006315115,0.002811127,0.005450926
"951","MAP1A","ENSG00000166963","turquoise",0.000121676,0.000206465,0.000180231,0.000159712,0.000138038,0.000181592,0.00016442,0.000255943,0.000168954,0.000194148,0.000219678,0.000143799,0.000205872,0.000194216,9.81e-05,4.54e-05,5.92e-05,4.27e-05,3.07e-05
"952","MAP1B","ENSG00000131711","turquoise",0.000282575,0.000438785,0.000400198,0.000348505,0.000280248,0.000395766,0.000287428,0.000464099,0.000452325,0.000494778,0.000534763,0.000345303,0.000492872,0.00048275,0.000269267,0.000153331,0.000224875,0.000148977,0.000114719
"953","MAP1S","ENSG00000130479","black",0,2.31e-05,2.43e-05,1.85e-05,0,1.99e-05,0,0,0,1.32e-05,2.22e-05,0,0,0,0,0,0,0,0
"954","MAP2","ENSG00000078018","turquoise",6.7e-05,0.000208801,0.000201119,0.000191899,0.00010807,0.000225427,0.000131468,0.000197249,0.000174237,0.000165252,0.000159287,0.000105588,0.000177072,0.000163818,6.52e-05,3.28e-05,3.45e-05,3.61e-05,3.89e-05
"955","MAP2K1","ENSG00000169032","black",0.000131795,0.000334296,0.000360782,0.000452353,0.00028933,0.00024733,0.000130362,0.000208788,0.000140278,0.000288714,0.000264464,9.38e-05,8.6e-05,0.000195954,6.85e-05,6.02e-05,6.29e-05,4.95e-05,6.43e-05
"956","MAP2K2","ENSG00000126934","grey",0,3.07e-05,2.35e-05,2.41e-05,0,0,0,1.59e-05,0,0,0,0,0,0,0,2.42e-05,2.35e-05,0,0
"957","MAP2K4","ENSG00000065559","black",3.22e-05,4.83e-05,6.78e-05,3.78e-05,3.45e-05,3.52e-05,2.3e-05,0,0,2.84e-05,2.34e-05,0,0,3.39e-05,0,0,0,0,0
"958","MAP4","ENSG00000047849","black",1.52e-05,1.07e-05,1.28e-05,1.16e-05,1.92e-05,2.93e-05,1.88e-05,1.93e-05,2.69e-05,1.51e-05,1.75e-05,1.96e-05,2.41e-05,2.24e-05,2.42e-05,2.8e-05,2.91e-05,3.18e-05,2.84e-05
"959","MAP6","ENSG00000171533","turquoise",0.000207384,0.000153871,0.000151971,0.000194809,0.0001369,8.36e-05,0.000122534,0.000166914,0.00018944,0.000163226,0.000120703,0.00011193,0.000143074,0.000164951,7.62e-05,3e-05,4.58e-05,2.48e-05,1.74e-05
"960","MAPK1","ENSG00000100030","grey",0.000488038,0.000523415,0.000624701,0.001125478,0.001301036,0.000466939,0.000632064,0.000863084,0.000639314,0.000721681,0.000698255,0.000625803,0.000518865,0.000894283,0.000510849,0.00057987,0.000614528,0.000716497,0.000632476
"961","MAPK10","ENSG00000109339","black",0,2.46e-05,2.45e-05,2.75e-05,0,0,0,0,0,1.14e-05,1.61e-05,0,0,0,0,0,0,0,0
"962","MAPK3","ENSG00000102882","grey",4.61e-05,6.63e-05,5.38e-05,9.71e-05,0.000141158,7.31e-05,8.48e-05,9.01e-05,8.18e-05,8.79e-05,6.73e-05,6.67e-05,5.15e-05,0.000115594,5.28e-05,5.42e-05,8.88e-05,7.7e-05,5.74e-05
"963","MAPK8IP3","ENSG00000138834","black",0,7.9e-06,4.46e-06,5.69e-06,0,0,0,0,0,4.93e-06,7.09e-06,0,0,0,0,0,0,0,0
"964","MAPRE1","ENSG00000101367","grey",0.000108892,0.000148872,0.000145527,0.000163754,0.000112443,9.97e-05,0.000105259,0.00013437,9.21e-05,0.000131197,0.000146245,0.000116391,0.00015406,0.000128979,0.000103855,0.000124848,0.000137992,0.000184333,0.000122952
"965","MAPRE2","ENSG00000166974","black",0.00020704,0.000381659,0.000449159,0.000406513,0.000221008,0.0002409,0.00020443,0.00024397,0.000203244,0.000332608,0.000389482,0.000234206,0.000211242,0.000229371,0.000124771,0.000169582,0.000170227,0.000146577,0.000191009
"966","MAPRE3","ENSG00000084764","black",0.000231455,0.00048402,0.000502836,0.000494249,0.000361044,0.000303863,0.000213101,0.000267271,0.000273109,0.0004276,0.000429324,0.000277131,0.000185962,0.000310775,0.000165271,8.88e-05,0.000112787,0.000105919,8.93e-05
"967","MAPT","ENSG00000276155","turquoise",0.000652642,0.000657457,0.000678165,0.000764747,0.000568799,0.000416929,0.000433922,0.000736703,0.000665132,0.000642497,0.000484528,0.000463951,0.00060308,0.000601088,0.000327802,0.000209658,0.000231732,0.000216494,0.000153792
"968","MARCKS","ENSG00000277443","green",0.002213161,0.00198225,0.002495992,0.002728241,0.003012383,0.002945871,0.002227675,0.002033451,0.003168583,0.00211075,0.002614325,0.003289471,0.002455107,0.003178907,0.003103265,0.003288782,0.00291727,0.004194008,0.00358835
"969","MARCKSL1","ENSG00000175130","turquoise",0.000248785,0.000259352,0.000278834,0.000310863,0.000535954,0.000444587,0.000275334,0.000371969,0.00045859,0.000316738,0.000492437,0.000469232,0.000339648,0.000308441,0.000508527,0.000696572,0.000480425,0.000659148,0.000550991
"970","MARK1","ENSG00000116141","black",0,7.89e-06,9.48e-06,7.54e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971","MAT2A","ENSG00000168906","grey",0.000106256,9.2e-05,8.42e-05,9.41e-05,7.67e-05,8.1e-05,7.71e-05,0.000117891,0.000107149,7.64e-05,8.11e-05,8.88e-05,6.86e-05,9.39e-05,0.000103855,8.74e-05,0.000104573,7e-05,6.59e-05
"972","MAT2B","ENSG00000038274","turquoise",5.17e-05,4.1e-05,4.89e-05,5.13e-05,3.66e-05,4.12e-05,4.48e-05,3.97e-05,4.55e-05,5.82e-05,4.74e-05,5.22e-05,4.6e-05,4.69e-05,4.37e-05,3.56e-05,4.7e-05,3.42e-05,2.56e-05
"973","MBLAC2","ENSG00000176055","pink",5.1e-05,7.35e-05,9.54e-05,0.000103604,9.12e-05,6.27e-05,0.000107409,6.86e-05,5.51e-05,8.32e-05,7.08e-05,4.36e-05,3.51e-05,4.85e-05,0,5.74e-05,3.8e-05,5.58e-05,7.15e-05
"974","MBP","ENSG00000197971","grey",0.001291934,0.00164588,0.001212911,0.000862128,0.001704044,0.002074366,0.003483588,0.002100915,0.002238549,0.002105112,0.002935474,0.001700716,0.002535054,0.002524486,0.001703959,0.002448152,0.00352556,0.000660779,0.001964601
"975","MCAM","ENSG00000076706","black",1.76e-05,1.07e-05,0,0,1.86e-05,5.11e-05,7.01e-05,4.37e-05,2.81e-05,2.32e-05,3.54e-05,2.06e-05,2.22e-05,2.57e-05,3.94e-05,4.53e-05,3.79e-05,1.94e-05,5.47e-05
"976","MCCC2","ENSG00000281742","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45e-05,1.21e-05,1.08e-05,2.57e-05
"977","MCTS1","ENSG00000232119","black",7.74e-05,7.91e-05,0.000108127,0.00010477,8.89e-05,0,3.49e-05,5.66e-05,0,8.04e-05,6.86e-05,4.57e-05,1.54e-05,4.98e-05,4.18e-05,2.31e-05,3.23e-05,4.53e-05,0
"978","MDH1","ENSG00000014641","turquoise",0.005467752,0.004397337,0.004883823,0.004793853,0.00453966,0.003495336,0.003375709,0.004541471,0.004627122,0.005694098,0.005481877,0.004547406,0.005557459,0.005165921,0.004322954,0.00206536,0.003145722,0.001928477,0.002161733
"979","MDH2","ENSG00000146701","black",0.00137381,0.000184188,0.000620428,0.000479158,0.000570201,0.000373713,0.001071352,0.000545178,0.000896732,0.000414048,0.000250879,0.000682809,0.000777594,0.000792346,0.000624732,0.000723481,0.000677014,0.000467367,0.000819253
"980","ME1","ENSG00000065833","black",0.000115947,8.67e-05,0.000173045,0.000168094,0.000121195,9.96e-05,0.000117535,0.000121326,0.000116446,0.00012875,0.000101234,0.000116221,0.000140853,0.000130317,0.000105504,8.45e-05,6.72e-05,0.000121653,9.35e-05
"981","ME2","ENSG00000082212","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73e-05,2.5e-05,3.02e-05,1.6e-05,3.99e-05
"982","MESDC2",NA,"green",0,0,0,0,0,0.000145305,0,0,0,0,0,0,0,0,0,0.00013903,0.000107804,0.000268785,9.66e-05
"983","METAP2","ENSG00000111142","grey",2.01e-05,2.04e-05,0,1.67e-05,2.92e-05,2.54e-05,0,2.85e-05,2.5e-05,0,0,0,0,2.77e-05,2.26e-05,2.69e-05,0,0,2.48e-05
"984","METTL7A",NA,"green",7.86e-05,7.22e-05,4.7e-05,0,0.000163551,0.000345493,0.000179475,0.000130957,0.000129745,0.000162694,0.000150899,8.4e-05,0.000105552,0,0.000228078,0.000392017,0.000363885,0.000865517,0.000502707
"985","MFGE8","ENSG00000140545","turquoise",6.69e-05,0,0,3.1e-05,0,5.48e-05,5.55e-05,0,0,0.000121157,0,4.08e-05,0,3e-05,5.32e-05,0.000126916,3.59e-05,4.62e-05,0.00052634
